UC Santa Cruz Final Exam Schedules by Term and Teaching Time Block,,,
"2026-2027 dates last updated July 3, 2026",,,
,,,
"Fall 2026 Final Examination Schedule: Dec. 7–11, 2026",,,
"Monday, Wednesday, and/or Friday classes",,,
Class Meeting Days,Class Start Times ,Exam Date,Exam Times
MWF,8:00 a.m.,"Monday, Dec 7",4:00–7:00 p.m.
MWF,9:20 a.m.,"Tuesday, Dec 8",8:00–11:00 a.m.
MWF,10:40 a.m.,"Tuesday, Dec 8",4:00–7:00 p.m.
MWF,12:00 p.m.,"Wednesday, Dec 9",8:00–11:00 a.m.
MWF,1:20 p.m.,"Wednesday, Dec 9",12:00–3:00 p.m.
MWF,2:40 p.m.,"Thursday, Dec 10",4:00–7:00 p.m.
MWF,4:00 p.m.,"Thursday, Dec 10",8:00–11:00 a.m.
MW,5:20 p.m.,"Friday, Dec 11",8:00–11:00 a.m.
MW,7:10 p.m.,"Monday, Dec 7",7:30–10:30 p.m.
"*Non-Standard 1: M or W or F classes that do not begin at 8:00 a.m., 9:20 a.m., 10:40 a.m., 12:00 p.m., 1:20 p.m., 2:40 p.m., 4:00 p.m., 5:20 p.m. This and Non-Standard 2 are options for asynchronous remote and online classes. Instructors of asynchronous courses are encouraged to offer flexibility to students. ",,,
Non-Standard 1*,,"Friday, Dec 11",12:00–3:00 p.m.
,,,
Tuesday and/or Thursday classes,,,
Class Meeting Days,Class Start Times ,Exam Date,Exam Times
TuTh,8:00 a.m.,"Monday, Dec 7",8:00–11:00 a.m.
TuTh,9:50 a.m.,"Thursday, Dec 10",12:00–3:00 p.m.
TuTh,11:40 a.m.,"Tuesday, Dec 8",12:00–3:00 p.m.
TuTh,1:30 p.m.,"Monday, Dec 7",12:00–3:00 p.m.
TuTh,3:20 p.m.,"Wednesday, Dec 9",4:00–7:00 p.m.
TuTh,5:20 p.m.,"Tuesday, Dec 8",7:30–10:30 p.m.
TuTh,7:10 p.m.,"Wednesday, Dec 9",7:30–10:30 p.m.
"**Non-Standard 2: T or Th classes that do not begin at 8:00 a.m., 9:50 a.m., 11:40 a.m., 1:30 p.m., 3:20 p.m., 5:20 p.m. This and Non-Standard 1 are options for asynchronous remote and online classes. Instructors of asynchronous courses are encouraged to offer flexibility to students.",,,
Non-Standard 2**,,"Thursday, Dec 10",7:30–10:30 p.m.
,,,
"Winter 2027 Final Examination Schedule: Mar. 15–19, 2027",,,
"Monday, Wednesday, and/or Friday classes",,,
Class Meeting Days,Class Start Times ,Exam Date,Exam Times
MWF,8:00 a.m.,"Monday, Mar 15",8:00–11:00 a.m.
MWF,9:20 a.m.,"Monday, Mar 15",12:00–3:00 p.m.
MWF,10:40 a.m.,"Tuesday, Mar 16",8:00–11:00 a.m.
MWF,12:00 p.m.,"Tuesday, Mar 16",12:00–3:00 p.m.
MWF,1:20 p.m.,"Wednesday, Mar 17",4:00–7:00 p.m.
MWF,2:40 p.m.,"Thursday, Mar 18",8:00–11:00 a.m.
MWF,4:00 p.m.,"Monday, Mar 15",4:00–7:00 p.m.
MW,5:20 p.m.,"Monday, Mar 15",7:30–10:30 p.m.
MW,7:10 p.m.,"Tuesday, Mar 16",7:30–10:30 p.m.
"*Non-Standard 1: M or W or F classes that do not begin at 8:00 a.m., 9:20 a.m., 10:40 a.m., 12:00 p.m., 1:20 p.m., 2:40 p.m., 4:00 p.m., 5:20 p.m. This and Non-Standard 2 are options for asynchronous remote and online classes. Instructors of asynchronous courses are encouraged to offer flexibility to students. ",,,
Non-Standard 1*,,"Thursday, Mar 18",7:30–10:30 p.m.
,,,
Tuesday and/or Thursday classes,,,
Class Meeting Days,Class Start Times ,Exam Date,Exam Times
TuTh,8:00 a.m.,"Friday, Mar 19",8:00–11:00 a.m.
TuTh,9:50 a.m.,"Thursday, Mar 18",12:00–3:00 p.m.
TuTh,11:40 a.m.,"Thursday, Mar 18",4:00–7:00 p.m.
TuTh,1:30 p.m.,"Wednesday, Mar 17",12:00–3:00 p.m.
